experiment,model_label,method,condition,check,k,n_queries,mean_actual_k,mean_delta_g,delta_g_ci_low,delta_g_ci_high,mean_abs_g_gap,abs_g_gap_ci_low,abs_g_gap_ci_high,flip_rate,flip_rate_ci_low,flip_rate_ci_high,sign_preservation_rate,sign_preservation_ci_low,sign_preservation_ci_high
duot5,DuoT5,pairwise_ig,explanation,preservation,20,150,20.0,3.6877928253014884,2.508593135913213,4.9155866650491955,5.8675732636451725,4.912528824359179,6.867986594845851,0.21333333333333335,0.14666666666666667,0.28,0.7866666666666666,0.72,0.8533333333333334
duot5,DuoT5,pairwise_ig,random,preservation,1,150,1.0,20.11822939531008,19.371626542079447,20.835493541642027,20.12017418106397,19.36312608303527,20.831172594737012,0.9586666666666668,0.926,0.9866666666666667,0.04133333333333333,0.014666666666666668,0.074
duot5,DuoT5,pairwise_ig,random,preservation,3,150,3.0,19.71782136940956,19.03617201076646,20.443555351979537,19.72921506623427,18.985602774418396,20.38961780653596,0.9440000000000002,0.9093333333333333,0.9719999999999999,0.056,0.028,0.08866666666666666
duot5,DuoT5,pairwise_ig,random,preservation,5,150,5.0,18.78603621379534,18.051544011402132,19.517494387755796,18.843870139400163,18.072059305776158,19.563658151979247,0.9093333333333333,0.8746666666666666,0.9380000000000002,0.09066666666666666,0.062000000000000006,0.12334999999999999
duot5,DuoT5,pairwise_ig,random,preservation,10,150,10.0,16.55257308769226,15.622259062771006,17.419516930918892,16.795333252787586,15.983852937745056,17.598102947852013,0.7866666666666666,0.74865,0.8193499999999999,0.21333333333333335,0.17800000000000002,0.24935000000000002
duot5,DuoT5,pairwise_ig,random,preservation,20,150,20.0,11.67159571091334,10.728166979815562,12.757527049223583,12.730943251331649,11.977212233639758,13.516527499208848,0.552,0.5133333333333333,0.594,0.448,0.412,0.4860166666666667
duot5,DuoT5,pointwise_ig,explanation,preservation,1,150,1.0,4.1166412576039635,3.248525589307149,4.950756797631581,5.313781334559123,4.643589281638463,6.010600665012995,0.5066666666666667,0.4266666666666667,0.5866666666666667,0.49333333333333335,0.41333333333333333,0.5733333333333334
duot5,DuoT5,pointwise_ig,explanation,preservation,3,150,3.0,5.13380334854126,3.9790872705777485,6.2413302713235215,6.734694112141927,5.868770802974701,7.559041739781698,0.5466666666666666,0.4666666666666667,0.62,0.4533333333333333,0.3731666666666667,0.5266666666666666
duot5,DuoT5,pointwise_ig,explanation,preservation,5,150,5.0,5.742048266728719,4.546504542509715,7.080787568966547,7.666457891464233,6.732648863633473,8.716397443930306,0.54,0.4665,0.6133333333333333,0.46,0.38666666666666666,0.5466666666666666
duot5,DuoT5,pointwise_ig,explanation,preservation,10,150,10.0,5.7178398132324215,4.450220333337784,7.023487169504166,8.462346254984539,7.600480636835099,9.358357044219971,0.5066666666666667,0.43333333333333335,0.5866666666666667,0.49333333333333335,0.4066666666666667,0.5733333333333334
